Movie_Name,Certificate,Duration,Year,Rating,Genre,Vote,Gross,Country,Language,Budget
Persepolis,PG-13,96,2007,8.1,"Animation, Biography, Drama",81714,4443403,France,French,7300000
Taare Zameen Par,PG,165,2007,8.4,"Drama, Family",139971,1223869,India,Hindi,1734660
Evil Dead II,R,84,1987,7.8,"Comedy, Horror",134812,5923044,USA,English,3600000
Who Framed Roger Rabbit,PG,104,1988,7.7,"Animation, Adventure, Comedy",167899,156452370,USA,English,70000000
Serenity,PG-13,119,2005,7.9,"Action, Adventure, Sci-Fi",269255,25514517,USA,English,40000000
Throne of Blood,Not Rated,110,1957,8.1,Drama,39596,46808,Japan,Japanese,0
"Monsters, Inc.",G,92,2001,8.1,"Animation, Adventure, Comedy",734324,289916256,USA,English,115000000
La Strada,Not Rated,108,1954,8.1,Drama,52949,0,Italy,Italian,0
Pink Floyd: The Wall,R,95,1982,8,"Animation, Drama, Fantasy",70089,22244207,UK,English,12000000
The Road Warrior,R,94,1981,7.6,"Action, Adventure, Sci-Fi",154240,12465371,Australia,English,2000000
Dallas Buyers Club,R,117,2013,8,"Biography, Drama",400431,27298285,USA,English,5000000
Kis Uykusu,Not Rated,196,2014,8.2,Drama,36671,0,Turkey,Turkish,0
Ex Machina,R,108,2014,7.7,"Drama, Mystery, Sci-Fi",420983,25442958,UK,English,15000000
Isle of Dogs,PG-13,101,2018,7.9,"Animation, Adventure, Comedy",105383,32015231,Germany,English,0
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,143,2003,8,"Action, Adventure, Fantasy",959693,305413918,USA,English,140000000
Kill Bill: Vol. 2,R,137,2004,8,"Action, Crime, Thriller",611193,66208183,USA,English,30000000
Hunt for the Wilderpeople,PG-13,101,2016,7.9,"Adventure, Comedy, Drama",86668,5202582,New Zealand,English,2500000
Zootopia,PG,108,2016,8,"Animation, Adventure, Comedy",379715,341268248,USA,English,150000000
Song of the Sea,PG,93,2014,8.1,"Animation, Adventure, Drama",43577,857524,Ireland,English,5925427
District 9,R,112,2009,7.9,"Action, Sci-Fi, Thriller",601942,115646235,South Africa,English,30000000
3 Idiots,PG-13,170,2009,8.4,"Comedy, Drama",297227,6532908,India,Hindi,7950525
